[18/06/2017 1:58:09] --> GM: ddddd [268477825], Target: [Extreme Shop], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 2:12:32] --> GM: ddddd [268477825], Target: [Extreme Shop], Action: [admin_spawn 50007], Params: [] 
[18/06/2017 2:12:48] --> GM: ddddd [268477825], Target: [Tiffany], Action: [admin_delete], Params: [] 
[18/06/2017 2:16:44] --> GM: ddddd [268477825], Target: [Extreme Shop], Action: [admin_delete], Params: [] 
[18/06/2017 2:16:58] --> GM: ddddd [268477825], Target: [buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 2:25:03] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[18/06/2017 2:25:05] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[18/06/2017 2:25:06] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 2:25:07] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[18/06/2017 2:25:08] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[18/06/2017 2:30:05] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [] 
[18/06/2017 2:30:09] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [ 92] 
[18/06/2017 2:38:32] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[18/06/2017 2:38:33] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[18/06/2017 2:38:35] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 2:38:37] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/goddard.htm] 
[18/06/2017 2:38:41] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 2:38:44] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/goddard.htm] 
[18/06/2017 2:38:50] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 2:38:52] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_show_moves], Params: [] 
[18/06/2017 2:38:58] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[18/06/2017 2:39:03] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/others/goddard.htm] 
[18/06/2017 2:39:09] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 141377 -123793 -1906] 
[18/06/2017 2:39:23] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[18/06/2017 2:39:25] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[18/06/2017 2:39:27] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[18/06/2017 2:39:30] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/others/goddard.htm] 
[18/06/2017 2:39:31] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 149616 -112428 -2065] 
[18/06/2017 2:39:39] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[18/06/2017 2:43:46] --> GM: ddddd [268477825], Target: [Jeremy], Action: [admin_admin], Params: [] 
[18/06/2017 2:43:48] --> GM: ddddd [268477825], Target: [Jeremy], Action: [admin_move_to], Params: [] 
[18/06/2017 2:43:49] --> GM: ddddd [268477825], Target: [Jeremy], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 2:43:51] --> GM: ddddd [268477825], Target: [Jeremy], Action: [admin_help], Params: [ tele/towns/goddard.htm] 
[18/06/2017 2:43:59] --> GM: ddddd [268477825], Target: [Jeremy], Action: [admin_move_to], Params: [ 146329 -57662 -2966] 
[18/06/2017 2:45:37] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[18/06/2017 2:45:40] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setkarma], Params: [] 
[18/06/2017 2:45:50] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setkarma 5000], Params: [] 
[18/06/2017 2:45:53] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_kill], Params: [] 
[18/06/2017 2:45:56] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_kill], Params: [] 
[18/06/2017 2:45:57] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[18/06/2017 2:46:04] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_kill_menu], Params: [] 
[18/06/2017 2:46:19] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_kill_menu], Params: [ ddddd] 
[18/06/2017 2:46:23] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[18/06/2017 2:46:25] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_invul], Params: [] 
[18/06/2017 2:46:26] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[18/06/2017 2:46:27] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_invis_menu], Params: [] 
[18/06/2017 2:46:33] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_kill], Params: [] 
[18/06/2017 2:47:15] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setkarma 0], Params: [] 
[18/06/2017 2:47:18] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_kill], Params: [] 
[18/06/2017 3:50:34] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[18/06/2017 3:50:35] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[18/06/2017 3:50:37] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 3:50:45] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/rune.htm] 
[18/06/2017 3:50:46] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 44070 -50243 -796] 
[18/06/2017 3:51:14] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
