[16/07/2017 18:06:51] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[16/07/2017 18:10:19] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 18:10:20] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_move_to], Params: [] 
[16/07/2017 18:13:33] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 18:13:40] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[16/07/2017 18:13:41] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[16/07/2017 18:13:44] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_move_to], Params: [ 17726 108915 -6480] 
[16/07/2017 18:13:55] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_admin], Params: [] 
[16/07/2017 18:13:57] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:01] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:03] --> GM: Nigga [268439890], Target: [Core], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:06] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:07] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:10] --> GM: Nigga [268439890], Target: [Death Wraith], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:11] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:14] --> GM: Nigga [268439890], Target: [Death Wraith], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:15] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:17] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:19] --> GM: Nigga [268439890], Target: [Death Knight], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:21] --> GM: Nigga [268439890], Target: [Death Wraith], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:14:22] --> GM: Nigga [268439890], Target: [Death Wraith], Action: [admin_kill_menu], Params: [] 
[16/07/2017 18:16:58] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin], Params: [] 
[16/07/2017 18:16:59] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_move_to], Params: [] 
[16/07/2017 18:17:02] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/towns.htm] 
[16/07/2017 18:17:03] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[16/07/2017 18:17:04] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/towns.htm] 
[16/07/2017 18:17:06] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_show_moves], Params: [] 
[16/07/2017 18:17:08] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/castles.htm] 
[16/07/2017 18:17:09] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/castles/giran.htm] 
[16/07/2017 18:17:12] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/castles.htm] 
[16/07/2017 18:17:13] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin], Params: [] 
[16/07/2017 18:17:19] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_move_to], Params: [] 
[16/07/2017 18:17:21] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/towns.htm] 
[16/07/2017 18:17:23] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[16/07/2017 18:17:27] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[16/07/2017 18:26:13] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_server_restart 0], Params: [] 
[16/07/2017 18:26:22] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_server_restart 0], Params: [] 
[16/07/2017 18:26:28] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_server_restart 0], Params: [] 
[16/07/2017 18:27:48] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 18:27:54] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_move_to], Params: [] 
[16/07/2017 18:28:03] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 18:28:05] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[16/07/2017 18:28:06] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[16/07/2017 18:28:08] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_move_to], Params: [ 17726 108915 -6480] 
[16/07/2017 18:38:07] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
